mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index,timestamp_real,timeframe
0.135.1.143.215.55,44.208.45.106.167.16,1,0,-101.0,2018-11-06,11:05:00,,,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.106.167.16,1,1,-101.0,2018-11-06,11:05:00,,,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-99.0,2018-11-06,11:05:00,1.0,2.0,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-93.0,2018-11-06,11:05:00,1.0,2.0,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.125.172.128,1,0,-101.0,2018-11-06,11:05:00,,,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.125.172.128,1,1,-101.0,2018-11-06,11:05:00,,,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.127.67.64,0,0,-101.0,2018-11-06,11:05:00,,,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.127.67.64,0,1,-101.0,2018-11-06,11:05:00,,,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.127.67.64,1,0,-101.0,2018-11-06,11:05:00,,,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.127.67.64,1,1,-101.0,2018-11-06,11:05:00,,,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-71.0,2018-11-06,11:05:00,1.0,2.0,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-66.0,2018-11-06,11:05:00,1.0,2.0,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.127.103.160,1,0,-101.0,2018-11-06,11:05:00,,,2018-11-06 11:05:00,28
0.135.1.143.215.55,44.208.45.127.103.160,1,1,-101.0,2018-11-06,11:05:00,,,2018-11-06 11:05:00,28
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-52.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-51.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,0.66.104.213.240.0,1,0,-57.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,0.66.104.213.240.0,1,1,-66.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-93.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-92.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.106.167.16,1,0,-101.0,2018-11-08,11:05:00,,,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.106.167.16,1,1,-101.0,2018-11-08,11:05:00,,,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-96.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-96.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.125.172.128,1,0,-101.0,2018-11-08,11:05:00,,,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.125.172.128,1,1,-101.0,2018-11-08,11:05:00,,,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-47.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-53.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.127.67.64,1,0,-65.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.127.67.64,1,1,-68.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
